가드통과,examId,학교,학년,과목,회차,문항수,총점,객관식,단답형,서술형,배점채움,소단원라벨문항,난이도라벨문항,시리즈,시리즈_대비편수,시리즈_실제기출편수,실제기출없음,원본경로
Y,4491,정화여고,고1,공통수학2,2025-2중간,25,100,16,0,9,0,25,25,정화여고|고1,3,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[정화여고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4490,정화여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,정화여고|고1,3,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[정화여고][1][공수2][25-2-기말대비][와이비엠] (완료).PDF
Y,4499,중앙고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,중앙고|고1,1,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[중앙고][1][공수2][25-2-기말대비][동아] (완료).PDF
Y,4503,청구고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,청구고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[청구고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4504,청구고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,청구고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[청구고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4509,칠성고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,칠성고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[칠성고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4510,칠성고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,칠성고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[칠성고][1][공수2][25-2-기말대비][천재이] (완료).PDF
Y,4514,포산고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,포산고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[포산고][1][공수2][25-2-중간대비][신사고] (완료).PDF
Y,4521,학남고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,학남고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[학남고][1][공수2][25-2-중간대비][와이비엠] (완료).PDF
Y,4520,학남고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,학남고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[학남고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4528,함지고,고1,공통수학1,2025-1기말,25,101,20,0,5,0,25,25,함지고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[함지고][1][공수1][25-1-기말고사 대비][미래엔] (완료).PDF
Y,4529,함지고,고1,공통수학2,2025-2중간,25,100,22,0,3,0,25,25,함지고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[함지고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4531,현풍고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,현풍고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[현풍고][1][공수2][25-2-중간대비][교학사] (완료).PDF
Y,4535,혜화여고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,혜화여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[혜화여고][1][공수1][25-1-기말 대비][미래엔] (완료).PDF
Y,4537,혜화여고,고1,공통수학2,2025-2중간,25,98,21,0,4,1,25,25,혜화여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[혜화여고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4536,혜화여고,고1,공통수학2,2025-2기말,20,100,16,0,4,0,19,19,혜화여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[혜화여고][1][공수2][25-2-기말대비][천재홍] (완료).PDF
Y,4541,호산고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,24,호산고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[호산고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4540,호산고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,호산고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[호산고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4544,화원고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,화원고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[화원고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4543,화원고,고1,공통수학2,2025-2기말,24,100,20,0,4,2,24,24,화원고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[화원고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4547,효성여고,고1,공통수학2,2025-2기말,24,99.7,20,0,4,0,24,24,효성여고|고1,1,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[효성여고][1][공수2][25-2-기말대비][비상] (완료).PDF
N,4214,강북고,고1,공통수학2,2025-2중간,25,126.7,17,4,4,0,25,25,강북고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[강북고][1][공수2][25-2-중간대비][비상] (완료).PDF
N,4279,국제고,고1,공통수학1,2025-1기말,8,100,0,0,8,0,8,8,국제고|고1,0,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[국제고][1][공수1][25-1-기말고사 대비][지학사] (완료).PDF
N,4295,달서고,고1,공통수학2,2025-2중간,25,94.5,21,0,4,1,25,25,달서고|고1,1,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[달서고][1][공수2][25-2-중간대비][신사고] (완료).PDF
N,4314,대구국제고,고1,공통수학2,2025-2중간,9,100,0,0,9,0,9,9,대구국제고|고1,0,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대구국제고][1][공수2][25-2-중간대비][지학사] (완료).PDF
N,4372,사대부고,고1,공통수학2,2025-2기말,24,111.8,20,0,4,2,24,24,사대부고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[사대부고][1][공수2][25-2-기말대비][비상] (완료).PDF
N,4400,성광고,고1,공통수학2,2025-2중간,25,78,21,0,4,0,25,25,성광고|고1,0,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[성광고][1][공수2][25-2-중간대비][비상] (완료).PDF
N,4419,송현여고,고1,공통수학2,2025-2중간,25,114.6,20,0,5,0,25,25,송현여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[송현여고][1][공수2][25-2-중간대비][비상] (완료).PDF
N,4448,영남고,고1,공통수학2,2025-2기말,19,75,19,0,0,0,19,19,영남고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[영남고][1][공수2][25-2-기말대비][비상] (완료).PDF
N,4457,영신고,고1,공통수학2,2025-2중간,19,70,19,0,0,0,19,19,영신고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[영신고][1][공수2][25-2-중간대비][천재류] (완료).PDF
N,4460,영진고,고1,공통수학2,2025-2중간,25,87.5,20,0,5,5,25,25,영진고|고1,0,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[영진고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
N,4477,원화여고,고1,공통수학2,2025-2중간,25,109.5,20,0,5,0,25,25,원화여고|고1,0,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[원화여고][1][공수2][25-2-중간대비][비상] (완료).PDF
N,4494,제일고,고1,공통수학2,2025-2중간,22,78,21,0,1,0,22,22,제일고|고1,0,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[제일고][1][공수2][25-2-중간대비][금성] (완료).PDF
N,4546,효성여고,고1,공통수학1,2025-1기말,25,94,20,0,5,0,25,25,효성여고|고1,1,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[효성여고][1][공수1][25-1-기말대비][비상] (완료).PDF
